temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
9.25,29.92,0.95,45.0,99.56,0.0,2021-01-01 00:00:00
9.03,30.87,0.98,44.6,99.23,0.0,2021-01-01 01:00:00
8.9,30.63,1.03,44.6,96.38,0.0,2021-01-01 02:00:00
8.9,29.36,0.96,45.8,96.99,0.0,2021-01-01 03:00:00
8.7,28.61,0.94,48.5,96.5,0.0,2021-01-01 04:00:00
8.46,28.04,0.9,48.2,98.6,0.0,2021-01-01 05:00:00
8.15,27.85,0.98,49.1,99.81,0.0,2021-01-01 06:00:00
8.52,29.38,0.97,51.2,96.1,0.0,2021-01-01 07:00:00
10.91,38.1,0.68,55.1,93.83,0.0,2021-01-01 08:00:00
14.16,28.57,0.39,127.7,91.57,0.0,2021-01-01 09:00:00
16.2,19.18,1.6,194.5,88.35,0.0,2021-01-01 10:00:00
16.88,19.03,2.1,200.3,62.63,0.0,2021-01-01 11:00:00
17.03,19.95,2.23,205.2,55.15,0.0,2021-01-01 12:00:00
16.78,21.17,2.15,211.3,19.18,0.0,2021-01-01 13:00:00
16.04,23.28,1.87,218.7,11.37,0.0,2021-01-01 14:00:00
14.21,35.78,1.14,233.2,12.84,0.0,2021-01-01 15:00:00
10.91,47.3,0.8,262.1,14.11,0.0,2021-01-01 16:00:00
9.49,40.74,0.66,328.0,19.74,0.0,2021-01-01 17:00:00
8.88,40.82,0.83,10.4,22.23,0.0,2021-01-01 18:00:00
8.6,39.93,0.87,28.9,27.98,0.0,2021-01-01 19:00:00
8.83,36.65,0.76,41.3,28.67,0.0,2021-01-01 20:00:00
9.39,32.72,0.58,52.0,24.62,0.0,2021-01-01 21:00:00
9.52,30.86,0.44,53.4,27.45,0.0,2021-01-01 22:00:00
9.17,30.6,0.45,44.1,26.66,0.0,2021-01-01 23:00:00
8.77,30.93,0.55,45.0,25.32,0.45,2021-01-02 00:00:00
8.52,30.81,0.67,49.2,23.4,0.45,2021-01-02 01:00:00
8.48,29.98,0.76,47.1,18.04,0.45,2021-01-02 02:00:00
8.52,28.86,0.79,43.5,30.63,0.0,2021-01-02 03:00:00
8.4,28.97,0.8,42.5,52.46,0.0,2021-01-02 04:00:00
8.51,28.9,0.87,51.0,81.26,0.0,2021-01-02 05:00:00
7.89,31.51,1.05,54.7,77.26,0.0,2021-01-02 06:00:00
8.79,31.95,1.11,55.3,76.45,0.0,2021-01-02 07:00:00
11.02,43.23,0.86,58.3,74.66,0.0,2021-01-02 08:00:00
14.38,33.21,0.76,97.6,75.98,0.0,2021-01-02 09:00:00
16.16,25.37,1.52,162.8,76.14,0.0,2021-01-02 10:00:00
17.03,25.55,1.96,171.5,75.96,0.0,2021-01-02 11:00:00
17.56,27.33,1.98,176.5,83.63,0.01,2021-01-02 12:00:00
17.57,29.21,2.03,187.9,86.84,0.34,2021-01-02 13:00:00
16.74,32.35,2.33,196.2,88.75,0.6,2021-01-02 14:00:00
14.34,44.67,2.14,199.6,90.54,0.54,2021-01-02 15:00:00
10.22,63.34,1.41,195.6,96.96,0.46,2021-01-02 16:00:00
8.59,65.46,0.53,183.2,99.9,0.72,2021-01-02 17:00:00
8.0,67.89,0.61,51.6,100.0,1.56,2021-01-02 18:00:00
7.73,68.06,1.1,46.1,100.0,2.99,2021-01-02 19:00:00
8.03,66.4,1.17,53.7,100.0,6.14,2021-01-02 20:00:00
8.32,65.48,1.21,65.6,96.86,12.16,2021-01-02 21:00:00
8.29,68.23,1.31,73.6,96.14,19.03,2021-01-02 22:00:00
7.34,76.0,1.48,70.7,100.0,23.03,2021-01-02 23:00:00
6.45,82.27,1.83,65.4,99.9,23.94,2021-01-03 00:00:00
6.29,84.68,2.05,61.8,98.68,23.51,2021-01-03 01:00:00
6.66,84.14,2.17,55.7,99.36,18.09,2021-01-03 02:00:00
6.83,83.85,2.09,54.0,99.84,12.25,2021-01-03 03:00:00
6.98,84.13,1.78,56.7,99.86,10.9,2021-01-03 04:00:00
7.19,84.64,1.51,60.7,95.95,11.33,2021-01-03 05:00:00
7.41,85.08,1.31,67.5,76.73,10.73,2021-01-03 06:00:00
8.25,84.73,1.22,76.2,83.56,8.48,2021-01-03 07:00:00
10.32,84.15,1.05,82.9,86.75,4.39,2021-01-03 08:00:00
12.59,77.25,1.23,99.8,90.53,2.47,2021-01-03 09:00:00
14.37,69.99,1.53,130.8,97.13,0.85,2021-01-03 10:00:00
15.86,64.0,1.78,158.2,100.0,2.2,2021-01-03 11:00:00
16.29,63.04,2.04,176.6,100.0,9.42,2021-01-03 12:00:00
15.35,68.53,2.63,173.7,99.18,22.53,2021-01-03 13:00:00
13.73,78.26,2.76,163.1,99.38,32.36,2021-01-03 14:00:00
12.38,86.78,2.19,150.7,99.59,30.11,2021-01-03 15:00:00
11.11,93.32,1.04,119.3,99.79,23.0,2021-01-03 16:00:00
9.94,93.35,1.17,83.6,99.84,19.06,2021-01-03 17:00:00
9.76,90.4,1.33,81.3,99.65,17.81,2021-01-03 18:00:00
9.62,89.87,1.21,87.2,99.67,16.21,2021-01-03 19:00:00
9.64,88.84,1.12,94.1,99.69,13.14,2021-01-03 20:00:00
9.94,88.48,1.01,110.2,94.69,10.66,2021-01-03 21:00:00
10.11,90.03,0.94,121.5,99.76,8.76,2021-01-03 22:00:00
9.98,92.56,0.93,127.6,99.84,9.12,2021-01-03 23:00:00
9.79,94.47,0.97,130.4,99.77,9.93,2021-01-04 00:00:00
9.67,95.14,1.02,130.2,87.55,9.43,2021-01-04 01:00:00
9.72,93.98,1.01,130.6,99.89,6.58,2021-01-04 02:00:00
9.73,92.36,0.96,128.7,99.79,4.27,2021-01-04 03:00:00
9.71,90.7,0.95,125.2,89.57,2.96,2021-01-04 04:00:00
9.76,88.77,0.94,118.5,97.93,2.2,2021-01-04 05:00:00
9.85,86.74,0.96,113.9,99.84,1.78,2021-01-04 06:00:00
10.27,85.08,0.94,113.8,90.2,1.5,2021-01-04 07:00:00
11.94,85.35,0.84,118.4,76.83,35.77,2021-01-04 08:00:00
13.34,77.82,1.45,131.4,66.24,30.3,2021-01-04 09:00:00
13.81,74.3,1.83,136.1,59.05,28.66,2021-01-04 10:00:00
13.95,73.04,2.01,135.4,60.26,33.31,2021-01-04 11:00:00
14.05,72.96,2.07,132.8,83.27,27.45,2021-01-04 12:00:00
14.2,73.01,2.17,132.0,91.06,18.91,2021-01-04 13:00:00
14.24,74.21,1.99,126.0,83.43,6.7,2021-01-04 14:00:00
14.08,78.97,1.35,114.1,74.67,1.3,2021-01-04 15:00:00
12.42,84.32,0.97,106.2,66.29,2.84,2021-01-04 16:00:00
11.38,80.0,1.16,95.5,52.57,1.75,2021-01-04 17:00:00
10.91,78.04,1.24,82.6,53.33,1.52,2021-01-04 18:00:00
10.58,74.38,1.28,68.9,66.25,4.05,2021-01-04 19:00:00
11.16,66.25,1.2,70.1,83.39,4.14,2021-01-04 20:00:00
11.67,62.72,1.0,117.3,100.0,3.04,2021-01-04 21:00:00
10.92,69.16,1.14,143.5,100.0,2.44,2021-01-04 22:00:00
9.77,81.0,1.13,122.0,100.0,4.71,2021-01-04 23:00:00
8.95,89.07,1.31,92.2,99.32,18.01,2021-01-05 00:00:00
9.03,87.07,1.45,97.1,97.07,33.87,2021-01-05 01:00:00
9.24,86.44,1.4,120.0,82.73,29.29,2021-01-05 02:00:00
9.18,86.77,1.26,118.0,94.55,14.88,2021-01-05 03:00:00
8.89,86.42,1.21,100.0,95.85,5.66,2021-01-05 04:00:00
9.0,81.28,1.13,94.6,95.18,2.31,2021-01-05 05:00:00
9.0,76.96,1.01,106.1,99.8,5.74,2021-01-05 06:00:00
9.31,80.09,1.01,114.0,99.75,29.74,2021-01-05 07:00:00
11.58,78.22,1.38,106.5,99.98,4.8,2021-01-05 08:00:00
12.82,71.25,2.08,134.6,99.29,7.84,2021-01-05 09:00:00
12.81,72.27,2.79,143.7,99.4,10.25,2021-01-05 10:00:00
12.74,74.09,3.22,135.1,99.89,12.73,2021-01-05 11:00:00
12.98,74.17,3.35,135.2,95.76,13.57,2021-01-05 12:00:00
12.52,77.75,3.25,141.8,100.0,11.61,2021-01-05 13:00:00
11.35,83.86,2.98,135.4,100.0,22.09,2021-01-05 14:00:00
10.35,87.02,2.6,107.9,100.0,53.35,2021-01-05 15:00:00
9.57,86.53,2.69,87.9,100.0,58.44,2021-01-05 16:00:00
8.89,88.34,2.09,89.2,100.0,33.91,2021-01-05 17:00:00
8.02,92.73,1.98,95.5,99.96,23.15,2021-01-05 18:00:00
7.18,94.75,1.92,95.4,99.94,25.83,2021-01-05 19:00:00
7.23,92.77,2.28,90.8,99.77,32.97,2021-01-05 20:00:00
7.37,89.38,2.74,86.7,99.94,40.92,2021-01-05 21:00:00
7.61,86.09,2.64,82.2,99.84,46.49,2021-01-05 22:00:00
7.72,86.44,2.11,82.6,99.89,51.73,2021-01-05 23:00:00
7.17,89.27,2.1,80.9,99.83,61.67,2021-01-06 00:00:00
6.88,91.74,2.21,86.6,98.06,69.5,2021-01-06 01:00:00
6.93,93.68,2.01,90.0,97.13,64.56,2021-01-06 02:00:00
7.06,94.97,1.64,97.0,93.27,52.73,2021-01-06 03:00:00
7.24,96.24,1.55,115.2,90.65,44.17,2021-01-06 04:00:00
7.28,97.06,1.47,120.8,93.83,36.77,2021-01-06 05:00:00
7.25,96.95,1.34,121.6,77.56,23.68,2021-01-06 06:00:00
7.78,94.54,1.3,116.0,79.11,13.37,2021-01-06 07:00:00
9.19,89.93,1.65,113.6,77.3,71.91,2021-01-06 08:00:00
10.56,82.85,1.85,117.4,77.33,21.03,2021-01-06 09:00:00
12.01,75.63,1.91,138.0,76.85,8.75,2021-01-06 10:00:00
12.96,70.13,1.93,158.5,81.12,4.16,2021-01-06 11:00:00
13.53,67.03,1.9,172.4,94.23,2.01,2021-01-06 12:00:00
13.76,66.26,1.82,185.1,87.07,0.85,2021-01-06 13:00:00
13.72,67.6,1.69,199.7,82.78,0.34,2021-01-06 14:00:00
13.0,75.53,1.25,225.3,80.55,0.08,2021-01-06 15:00:00
10.94,87.28,0.8,256.3,80.66,0.12,2021-01-06 16:00:00
9.46,90.46,0.6,306.9,76.76,0.14,2021-01-06 17:00:00
8.71,91.37,0.68,0.8,88.36,0.29,2021-01-06 18:00:00
8.58,87.58,0.69,22.9,97.32,0.58,2021-01-06 19:00:00
8.71,82.77,0.63,38.0,90.95,1.39,2021-01-06 20:00:00
8.8,79.24,0.66,48.1,81.3,2.78,2021-01-06 21:00:00
8.66,77.31,0.74,50.5,66.88,3.9,2021-01-06 22:00:00
8.54,74.98,0.84,53.3,67.86,4.41,2021-01-06 23:00:00
8.39,72.86,0.94,55.0,56.21,3.05,2021-01-07 00:00:00
8.03,71.04,1.06,54.2,42.72,1.25,2021-01-07 01:00:00
7.97,66.34,1.07,51.1,25.2,0.59,2021-01-07 02:00:00
7.87,61.75,1.01,47.0,43.29,0.35,2021-01-07 03:00:00
7.64,58.86,0.93,45.0,41.35,0.13,2021-01-07 04:00:00
7.42,57.12,0.81,48.0,41.36,0.03,2021-01-07 05:00:00
7.01,57.06,0.74,57.2,43.95,0.01,2021-01-07 06:00:00
7.28,59.44,0.74,67.9,42.99,0.0,2021-01-07 07:00:00
9.43,67.59,0.82,61.6,39.03,0.0,2021-01-07 08:00:00
11.07,61.25,0.94,66.2,36.91,0.01,2021-01-07 09:00:00
12.77,54.83,0.92,108.4,34.86,0.74,2021-01-07 10:00:00
14.4,49.96,1.37,156.8,46.41,0.39,2021-01-07 11:00:00
15.0,49.52,1.85,180.9,46.52,0.39,2021-01-07 12:00:00
15.07,50.94,1.98,193.1,27.06,0.16,2021-01-07 13:00:00
14.72,53.61,1.94,202.1,43.81,0.03,2021-01-07 14:00:00
13.7,61.54,1.59,216.3,59.55,0.0,2021-01-07 15:00:00
10.95,78.09,0.88,234.7,76.72,0.0,2021-01-07 16:00:00
9.38,80.07,0.6,251.6,97.85,0.0,2021-01-07 17:00:00
9.0,79.81,0.26,308.7,99.12,0.0,2021-01-07 18:00:00
8.82,77.4,0.29,14.0,99.79,0.0,2021-01-07 19:00:00
8.78,74.71,0.34,37.9,99.79,0.0,2021-01-07 20:00:00
8.63,72.91,0.35,47.3,99.77,0.01,2021-01-07 21:00:00
8.52,70.61,0.35,55.4,99.0,0.01,2021-01-07 22:00:00
8.61,68.36,0.3,72.8,99.75,0.01,2021-01-07 23:00:00
8.48,67.14,0.26,96.6,99.76,0.01,2021-01-08 00:00:00
8.6,65.3,0.29,102.1,96.47,0.0,2021-01-08 01:00:00
8.52,63.96,0.22,111.8,99.7,0.0,2021-01-08 02:00:00
8.38,63.91,0.07,164.0,92.77,0.0,2021-01-08 03:00:00
8.12,64.78,0.04,284.1,90.63,0.05,2021-01-08 04:00:00
7.92,65.56,0.08,0.0,83.89,0.28,2021-01-08 05:00:00
7.67,66.05,0.16,34.7,86.43,0.4,2021-01-08 06:00:00
8.02,66.68,0.16,47.5,73.85,0.26,2021-01-08 07:00:00
9.99,69.42,0.07,180.0,59.09,0.03,2021-01-08 08:00:00
11.65,61.37,1.22,194.7,50.58,0.07,2021-01-08 09:00:00
12.81,58.43,2.24,187.7,40.49,0.12,2021-01-08 10:00:00
13.71,57.09,2.87,183.0,44.8,0.1,2021-01-08 11:00:00
14.18,56.31,3.19,180.7,35.2,0.17,2021-01-08 12:00:00
14.27,55.86,3.19,180.0,37.84,0.27,2021-01-08 13:00:00
13.99,56.33,2.9,183.2,32.22,0.38,2021-01-08 14:00:00
13.11,60.97,2.09,190.2,22.83,0.37,2021-01-08 15:00:00
10.48,77.84,0.83,214.6,16.43,0.18,2021-01-08 16:00:00
8.82,77.2,0.53,246.8,14.41,0.11,2021-01-08 17:00:00
8.08,78.97,0.3,0.0,20.29,0.03,2021-01-08 18:00:00
7.54,79.35,0.62,41.7,33.06,0.0,2021-01-08 19:00:00
7.55,76.14,0.7,57.9,44.52,0.0,2021-01-08 20:00:00
8.06,70.21,0.57,71.6,32.69,0.07,2021-01-08 21:00:00
8.44,66.21,0.39,84.1,58.55,0.37,2021-01-08 22:00:00
8.63,63.82,0.36,78.7,81.01,1.13,2021-01-08 23:00:00
8.67,62.11,0.45,72.0,85.66,1.74,2021-01-09 00:00:00
8.77,60.55,0.49,73.4,94.07,1.82,2021-01-09 01:00:00
8.84,59.37,0.49,59.2,91.9,1.55,2021-01-09 02:00:00
8.96,57.74,0.55,40.6,92.74,1.0,2021-01-09 03:00:00
8.84,57.32,0.61,28.2,96.59,0.93,2021-01-09 04:00:00
8.75,57.3,0.63,25.3,92.2,1.06,2021-01-09 05:00:00
8.76,56.92,0.64,24.1,90.28,1.23,2021-01-09 06:00:00
9.17,58.48,0.6,24.8,81.91,1.0,2021-01-09 07:00:00
11.24,65.29,0.33,31.3,71.03,0.06,2021-01-09 08:00:00
13.22,56.31,0.66,185.2,62.53,0.07,2021-01-09 09:00:00
14.38,53.47,1.75,192.5,95.26,0.07,2021-01-09 10:00:00
15.07,52.12,2.29,193.4,92.27,0.08,2021-01-09 11:00:00
15.39,52.42,2.56,194.5,95.46,0.08,2021-01-09 12:00:00
15.33,53.41,2.49,197.6,86.1,0.06,2021-01-09 13:00:00
14.84,55.76,2.11,203.4,87.25,0.03,2021-01-09 14:00:00
13.86,61.65,1.57,217.2,88.77,0.01,2021-01-09 15:00:00
11.13,78.18,0.81,242.8,93.42,0.01,2021-01-09 16:00:00
9.35,79.92,0.52,277.7,90.13,0.0,2021-01-09 17:00:00
8.56,81.39,0.53,353.5,84.39,0.0,2021-01-09 18:00:00
8.34,79.64,0.72,20.2,96.57,0.0,2021-01-09 19:00:00
8.46,76.02,0.7,31.7,95.94,0.0,2021-01-09 20:00:00
8.67,72.13,0.54,39.0,97.91,0.0,2021-01-09 21:00:00
8.97,68.28,0.39,39.8,88.88,0.0,2021-01-09 22:00:00
9.02,66.03,0.38,35.4,99.18,0.0,2021-01-09 23:00:00
8.75,65.06,0.49,36.6,90.8,0.0,2021-01-10 00:00:00
8.62,63.32,0.55,39.1,80.74,0.0,2021-01-10 01:00:00
8.94,59.69,0.55,29.4,89.53,0.0,2021-01-10 02:00:00
9.05,57.38,0.5,10.4,87.01,0.0,2021-01-10 03:00:00
8.77,56.95,0.55,357.9,83.77,0.0,2021-01-10 04:00:00
8.53,56.36,0.61,357.2,80.7,0.0,2021-01-10 05:00:00
8.19,56.25,0.66,358.3,85.77,0.0,2021-01-10 06:00:00
8.48,57.65,0.65,358.2,86.1,0.0,2021-01-10 07:00:00
11.08,61.63,0.71,349.5,78.06,0.0,2021-01-10 08:00:00
13.33,50.65,0.48,297.1,75.26,0.0,2021-01-10 09:00:00
15.02,47.17,1.18,231.2,71.97,0.0,2021-01-10 10:00:00
15.95,46.47,1.84,225.9,85.95,0.0,2021-01-10 11:00:00
16.38,46.79,2.16,229.7,74.71,0.0,2021-01-10 12:00:00
16.38,47.83,2.23,234.1,60.66,0.0,2021-01-10 13:00:00
15.87,50.42,2.18,237.5,64.8,0.0,2021-01-10 14:00:00
14.6,57.79,1.83,244.4,68.79,0.0,2021-01-10 15:00:00
11.52,76.04,0.93,258.8,73.7,0.0,2021-01-10 16:00:00
9.6,77.23,0.72,294.8,73.51,0.0,2021-01-10 17:00:00
8.98,76.82,0.69,347.4,74.03,0.0,2021-01-10 18:00:00
8.72,73.5,0.82,14.0,73.99,0.0,2021-01-10 19:00:00
8.47,69.72,0.88,23.4,74.6,0.0,2021-01-10 20:00:00
8.2,65.85,0.88,26.3,67.01,0.0,2021-01-10 21:00:00
8.21,61.29,0.86,25.4,74.1,0.0,2021-01-10 22:00:00
8.04,58.38,0.89,26.0,73.45,0.0,2021-01-10 23:00:00
8.06,54.95,0.9,28.6,72.17,0.0,2021-01-11 00:00:00
8.15,51.43,0.88,29.2,72.36,0.0,2021-01-11 01:00:00
7.97,49.1,0.89,28.9,73.47,0.0,2021-01-11 02:00:00
7.59,47.21,0.89,25.4,72.17,0.0,2021-01-11 03:00:00
7.32,45.15,0.9,24.9,72.14,0.0,2021-01-11 04:00:00
6.99,43.75,0.96,26.6,70.21,0.0,2021-01-11 05:00:00
6.74,42.19,1.0,27.3,72.77,0.0,2021-01-11 06:00:00
7.59,43.41,0.96,25.2,75.58,0.0,2021-01-11 07:00:00
10.73,50.32,0.77,17.3,72.34,0.0,2021-01-11 08:00:00
13.29,34.71,0.5,346.2,74.69,0.0,2021-01-11 09:00:00
15.09,34.84,1.09,238.5,76.77,0.0,2021-01-11 10:00:00
15.9,35.69,1.91,236.7,52.81,0.0,2021-01-11 11:00:00
16.13,37.43,2.29,240.4,60.52,0.0,2021-01-11 12:00:00
15.98,39.28,2.32,246.6,59.78,0.0,2021-01-11 13:00:00
15.48,41.86,2.12,251.3,61.92,0.0,2021-01-11 14:00:00
14.35,48.53,1.74,259.1,64.35,0.0,2021-01-11 15:00:00
11.15,68.3,0.97,274.1,68.32,0.0,2021-01-11 16:00:00
9.05,67.04,0.93,307.1,65.81,0.0,2021-01-11 17:00:00
8.53,65.59,0.91,340.2,70.9,0.0,2021-01-11 18:00:00
8.18,63.34,0.98,0.6,71.46,0.0,2021-01-11 19:00:00
7.9,60.66,1.05,12.1,68.95,0.0,2021-01-11 20:00:00
7.66,57.4,1.07,16.9,68.95,0.0,2021-01-11 21:00:00
7.57,53.45,1.09,17.6,67.52,0.0,2021-01-11 22:00:00
7.46,50.08,1.12,15.5,70.19,0.0,2021-01-11 23:00:00
7.45,46.62,1.16,14.5,69.55,0.0,2021-01-12 00:00:00
7.26,44.26,1.12,14.5,62.94,0.0,2021-01-12 01:00:00
7.05,42.17,1.05,13.2,70.35,0.0,2021-01-12 02:00:00
6.98,39.79,1.01,12.0,70.27,0.0,2021-01-12 03:00:00
6.77,38.47,1.08,18.9,70.9,0.0,2021-01-12 04:00:00
6.78,36.27,1.13,26.8,72.2,0.0,2021-01-12 05:00:00
7.19,32.29,1.13,30.2,72.21,0.0,2021-01-12 06:00:00
8.0,34.87,1.03,33.1,70.84,0.0,2021-01-12 07:00:00
11.06,48.84,0.71,28.7,62.0,0.0,2021-01-12 08:00:00
14.04,28.76,0.88,357.4,59.21,0.0,2021-01-12 09:00:00
16.11,26.34,1.06,291.5,55.37,0.0,2021-01-12 10:00:00
17.34,26.02,1.79,267.4,53.93,0.0,2021-01-12 11:00:00
17.74,26.62,2.27,266.0,48.51,0.0,2021-01-12 12:00:00
17.65,27.6,2.41,266.7,43.56,0.0,2021-01-12 13:00:00
16.98,30.19,2.35,266.8,42.32,0.0,2021-01-12 14:00:00
15.22,40.16,2.0,265.4,40.17,0.0,2021-01-12 15:00:00
11.32,60.47,1.13,273.5,39.01,0.0,2021-01-12 16:00:00
8.8,60.87,0.95,305.2,31.38,0.0,2021-01-12 17:00:00
7.85,62.28,0.96,337.4,52.6,0.0,2021-01-12 18:00:00
7.59,59.99,1.12,2.0,61.49,0.0,2021-01-12 19:00:00
7.66,55.74,1.2,14.0,62.64,0.0,2021-01-12 20:00:00
7.82,51.33,1.17,16.4,53.54,0.0,2021-01-12 21:00:00
8.1,46.62,1.14,14.3,65.83,0.0,2021-01-12 22:00:00
8.26,42.8,1.1,15.8,67.77,0.0,2021-01-12 23:00:00
7.98,40.78,1.0,22.4,72.24,0.0,2021-01-13 00:00:00
7.86,37.98,0.86,24.8,57.53,0.0,2021-01-13 01:00:00
7.42,37.04,0.89,24.0,68.42,0.0,2021-01-13 02:00:00
6.67,37.81,1.04,25.6,69.03,0.0,2021-01-13 03:00:00
6.47,36.25,1.23,26.6,72.23,0.0,2021-01-13 04:00:00
6.34,34.63,1.27,26.6,74.82,0.0,2021-01-13 05:00:00
6.23,33.39,1.26,26.0,73.47,0.0,2021-01-13 06:00:00
7.24,36.39,1.13,25.7,72.25,0.0,2021-01-13 07:00:00
10.76,49.42,0.78,26.6,65.5,0.0,2021-01-13 08:00:00
13.67,27.49,0.92,21.8,65.87,0.0,2021-01-13 09:00:00
15.6,24.51,0.71,298.7,65.22,0.0,2021-01-13 10:00:00
17.1,23.88,1.85,261.6,50.61,0.0,2021-01-13 11:00:00
17.4,25.0,2.26,259.0,39.2,0.0,2021-01-13 12:00:00
17.35,26.36,2.24,261.5,36.59,0.0,2021-01-13 13:00:00
16.92,28.64,2.08,263.1,34.24,0.0,2021-01-13 14:00:00
15.39,38.77,1.62,262.2,31.6,0.0,2021-01-13 15:00:00
11.8,55.3,0.94,272.4,30.77,0.0,2021-01-13 16:00:00
9.18,55.05,0.87,309.0,23.68,0.0,2021-01-13 17:00:00
8.39,55.63,0.99,344.8,26.22,0.0,2021-01-13 18:00:00
7.88,55.19,1.15,4.0,38.38,0.0,2021-01-13 19:00:00
7.7,53.02,1.21,10.9,55.67,0.0,2021-01-13 20:00:00
7.57,50.2,1.21,12.0,67.17,0.0,2021-01-13 21:00:00
7.39,47.75,1.19,12.2,63.1,0.0,2021-01-13 22:00:00
7.33,45.13,1.16,14.5,73.57,0.0,2021-01-13 23:00:00
7.28,42.75,1.13,17.5,72.91,0.0,2021-01-14 00:00:00
7.27,40.1,1.11,20.6,75.5,0.0,2021-01-14 01:00:00
7.46,36.51,1.09,24.4,74.32,0.0,2021-01-14 02:00:00
7.38,34.33,1.06,29.9,74.92,0.0,2021-01-14 03:00:00
7.27,32.61,1.03,34.3,79.39,0.0,2021-01-14 04:00:00
7.32,30.4,0.96,37.3,78.13,0.0,2021-01-14 05:00:00
7.43,28.38,0.9,39.2,67.84,0.0,2021-01-14 06:00:00
8.42,29.68,0.79,40.9,57.63,0.0,2021-01-14 07:00:00
11.38,41.49,0.5,25.0,48.55,0.0,2021-01-14 08:00:00
14.07,27.99,0.54,328.7,44.91,0.0,2021-01-14 09:00:00
16.15,25.9,1.31,270.0,39.16,0.0,2021-01-14 10:00:00
17.24,26.41,1.98,268.0,90.19,0.0,2021-01-14 11:00:00
17.86,27.27,2.27,273.3,84.78,0.0,2021-01-14 12:00:00
18.12,28.32,2.39,277.9,78.1,0.0,2021-01-14 13:00:00
17.59,31.47,2.32,277.2,83.08,0.0,2021-01-14 14:00:00
15.64,44.33,1.74,274.3,86.92,0.0,2021-01-14 15:00:00
12.62,56.47,0.84,287.4,88.85,0.0,2021-01-14 16:00:00
10.49,60.3,0.64,335.0,99.61,0.0,2021-01-14 17:00:00
10.39,58.44,0.75,10.0,99.6,0.0,2021-01-14 18:00:00
10.67,53.91,0.81,25.6,99.47,0.0,2021-01-14 19:00:00
11.02,49.83,0.72,17.7,99.56,0.0,2021-01-14 20:00:00
11.14,47.38,0.65,358.2,100.0,0.0,2021-01-14 21:00:00
11.07,45.53,0.68,342.9,99.91,0.0,2021-01-14 22:00:00
10.56,46.3,0.77,339.4,99.84,0.0,2021-01-14 23:00:00
10.15,46.65,0.85,340.1,99.76,0.0,2021-01-15 00:00:00
9.99,45.98,0.93,345.1,99.21,0.0,2021-01-15 01:00:00
10.13,42.98,0.92,355.6,79.82,0.0,2021-01-15 02:00:00
10.26,39.25,0.82,2.8,90.6,0.0,2021-01-15 03:00:00
10.58,36.28,0.71,11.3,85.63,0.0,2021-01-15 04:00:00
10.94,32.58,0.6,33.4,80.55,0.0,2021-01-15 05:00:00
10.55,31.42,0.46,64.0,93.24,0.0,2021-01-15 06:00:00
10.61,33.46,0.44,99.2,81.14,0.0,2021-01-15 07:00:00
12.13,42.48,0.44,117.2,71.38,0.0,2021-01-15 08:00:00
14.44,32.27,0.48,207.1,63.22,0.0,2021-01-15 09:00:00
16.12,30.38,1.39,238.8,53.82,0.0,2021-01-15 10:00:00
16.78,31.06,2.0,242.3,57.08,0.0,2021-01-15 11:00:00
16.96,32.61,2.21,244.8,46.23,0.0,2021-01-15 12:00:00
16.83,34.51,2.08,247.6,3.9,0.0,2021-01-15 13:00:00
16.46,36.31,1.89,252.1,8.72,0.0,2021-01-15 14:00:00
15.26,42.67,1.57,257.1,9.05,0.0,2021-01-15 15:00:00
12.22,59.97,0.85,267.3,12.52,0.0,2021-01-15 16:00:00
10.11,57.43,0.67,316.8,15.87,0.0,2021-01-15 17:00:00
9.24,58.84,0.84,6.1,28.68,0.0,2021-01-15 18:00:00
9.09,56.1,0.96,18.8,40.84,0.0,2021-01-15 19:00:00
9.02,53.12,0.91,17.8,45.33,0.0,2021-01-15 20:00:00
8.74,51.59,0.89,13.7,46.61,0.0,2021-01-15 21:00:00
8.51,49.93,0.97,12.5,29.96,0.0,2021-01-15 22:00:00
8.37,47.76,1.1,14.8,51.76,0.0,2021-01-15 23:00:00
8.06,46.09,1.17,17.4,53.69,0.0,2021-01-16 00:00:00
7.67,44.31,1.19,19.2,51.77,0.0,2021-01-16 01:00:00
7.19,43.09,1.18,24.6,37.57,0.0,2021-01-16 02:00:00
6.64,42.24,1.17,31.0,54.31,0.0,2021-01-16 03:00:00
6.24,41.01,1.2,36.9,62.04,0.0,2021-01-16 04:00:00
6.05,39.11,1.25,42.1,70.98,0.0,2021-01-16 05:00:00
5.94,37.42,1.28,44.1,57.5,0.0,2021-01-16 06:00:00
7.24,39.88,1.22,45.0,53.28,0.0,2021-01-16 07:00:00
11.29,46.05,1.16,47.1,48.38,0.0,2021-01-16 08:00:00
14.47,28.51,1.02,23.1,48.38,0.0,2021-01-16 09:00:00
16.58,26.12,0.79,296.2,46.2,0.0,2021-01-16 10:00:00
18.21,24.57,1.83,259.6,44.06,0.0,2021-01-16 11:00:00
18.57,25.67,2.27,260.6,40.67,0.0,2021-01-16 12:00:00
18.51,27.23,2.31,264.5,45.02,0.0,2021-01-16 13:00:00
17.87,30.08,2.15,267.3,46.84,0.0,2021-01-16 14:00:00
16.35,38.04,1.68,271.0,49.48,0.0,2021-01-16 15:00:00
12.88,55.77,0.81,287.3,51.09,0.0,2021-01-16 16:00:00
