temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
10.29,35.81,0.62,299.1,86.54,0.0,2018-01-01 00:00:00
9.5,38.02,0.63,281.8,81.35,0.0,2018-01-01 01:00:00
8.71,39.95,0.69,272.5,90.26,0.0,2018-01-01 02:00:00
7.9,41.91,0.72,269.2,85.24,0.0,2018-01-01 03:00:00
7.24,43.52,0.73,266.1,82.64,0.0,2018-01-01 04:00:00
6.76,44.19,0.72,260.4,90.83,0.0,2018-01-01 05:00:00
6.44,44.39,0.72,249.5,91.45,0.0,2018-01-01 06:00:00
6.72,46.77,0.64,232.6,90.11,0.0,2018-01-01 07:00:00
9.06,39.49,1.06,221.2,87.38,0.0,2018-01-01 08:00:00
11.08,32.6,1.29,200.0,84.99,0.0,2018-01-01 09:00:00
13.95,27.1,1.31,200.5,95.89,0.0,2018-01-01 10:00:00
16.98,20.99,1.41,214.9,97.41,0.0,2018-01-01 11:00:00
19.03,18.15,1.58,225.8,91.57,0.0,2018-01-01 12:00:00
19.49,17.91,1.65,232.6,83.85,0.0,2018-01-01 13:00:00
19.03,19.14,1.47,240.3,86.56,0.0,2018-01-01 14:00:00
17.16,34.07,0.74,246.2,89.49,0.0,2018-01-01 15:00:00
14.88,33.36,0.95,249.1,91.75,0.0,2018-01-01 16:00:00
13.88,29.94,1.04,252.6,92.08,0.0,2018-01-01 17:00:00
13.31,29.64,0.94,260.8,94.52,0.0,2018-01-01 18:00:00
12.96,29.81,0.8,274.3,93.94,0.0,2018-01-01 19:00:00
12.26,30.99,0.6,293.6,94.55,0.0,2018-01-01 20:00:00
11.84,31.53,0.48,327.0,95.15,0.0,2018-01-01 21:00:00
11.34,32.24,0.49,2.3,93.35,0.0,2018-01-01 22:00:00
10.71,33.98,0.5,25.0,95.75,0.0,2018-01-01 23:00:00
10.22,35.35,0.41,39.1,95.75,0.0,2018-01-02 00:00:00
9.71,37.23,0.17,45.0,90.52,0.0,2018-01-02 01:00:00
9.29,37.89,0.18,263.7,95.77,0.0,2018-01-02 02:00:00
8.14,41.54,0.52,265.6,96.38,0.0,2018-01-02 03:00:00
7.36,43.51,0.75,271.5,95.78,0.0,2018-01-02 04:00:00
6.83,44.98,0.68,281.0,95.79,0.0,2018-01-02 05:00:00
6.57,45.81,0.55,294.7,95.8,0.0,2018-01-02 06:00:00
6.9,46.71,0.41,306.0,96.25,0.0,2018-01-02 07:00:00
9.36,42.49,0.62,293.7,95.42,0.0,2018-01-02 08:00:00
11.83,33.78,1.12,287.6,94.38,0.0,2018-01-02 09:00:00
15.41,27.56,1.61,295.0,92.7,0.0,2018-01-02 10:00:00
18.54,23.61,2.2,303.3,94.67,0.0,2018-01-02 11:00:00
19.84,22.23,2.63,305.6,94.29,0.0,2018-01-02 12:00:00
20.3,21.46,2.89,307.8,70.34,0.0,2018-01-02 13:00:00
19.96,21.77,2.71,309.3,68.91,0.0,2018-01-02 14:00:00
18.1,32.1,1.4,305.7,67.41,0.0,2018-01-02 15:00:00
14.13,41.08,1.17,298.5,65.54,0.0,2018-01-02 16:00:00
12.26,39.59,1.33,294.0,64.22,0.0,2018-01-02 17:00:00
11.85,38.66,1.29,294.8,84.24,0.0,2018-01-02 18:00:00
11.76,36.86,1.16,300.1,93.93,0.0,2018-01-02 19:00:00
11.55,36.24,1.03,309.1,95.76,0.0,2018-01-02 20:00:00
11.09,37.01,0.94,323.6,96.66,0.0,2018-01-02 21:00:00
10.4,38.76,0.92,338.2,96.37,0.0,2018-01-02 22:00:00
9.71,40.58,0.91,352.4,96.37,0.0,2018-01-02 23:00:00
9.11,42.24,0.9,3.8,96.18,0.0,2018-01-03 00:00:00
8.71,43.1,0.83,4.8,99.46,0.0,2018-01-03 01:00:00
8.5,43.28,0.7,352.6,100.0,0.0,2018-01-03 02:00:00
8.17,43.66,0.61,326.3,96.4,0.0,2018-01-03 03:00:00
7.74,44.36,0.65,310.0,96.4,0.0,2018-01-03 04:00:00
7.2,45.58,0.69,301.4,96.41,0.0,2018-01-03 05:00:00
6.8,46.56,0.72,298.4,96.4,0.0,2018-01-03 06:00:00
6.93,47.77,0.66,300.8,97.31,0.0,2018-01-03 07:00:00
9.12,46.24,0.81,295.6,96.6,0.0,2018-01-03 08:00:00
11.47,36.74,1.4,295.5,95.67,0.0,2018-01-03 09:00:00
14.31,30.99,1.71,299.1,94.64,0.0,2018-01-03 10:00:00
17.89,22.79,2.48,303.0,89.72,0.0,2018-01-03 11:00:00
19.53,20.06,2.88,301.8,44.18,0.0,2018-01-03 12:00:00
19.95,19.53,3.04,301.8,91.03,0.0,2018-01-03 13:00:00
19.6,20.22,2.87,304.1,76.7,0.0,2018-01-03 14:00:00
17.31,32.1,1.4,306.3,64.33,0.0,2018-01-03 15:00:00
13.27,40.46,1.26,308.2,48.27,0.0,2018-01-03 16:00:00
11.19,40.72,1.39,310.9,28.48,0.0,2018-01-03 17:00:00
10.44,40.96,1.39,314.1,50.9,0.0,2018-01-03 18:00:00
9.78,41.4,1.38,320.3,81.81,0.0,2018-01-03 19:00:00
9.08,42.73,1.34,329.6,93.94,0.0,2018-01-03 20:00:00
8.36,44.74,1.3,342.1,95.76,0.0,2018-01-03 21:00:00
7.66,46.93,1.29,354.6,93.77,0.0,2018-01-03 22:00:00
6.94,49.46,1.3,4.8,96.37,0.0,2018-01-03 23:00:00
6.45,51.31,1.31,12.8,95.77,0.0,2018-01-04 00:00:00
6.31,51.46,1.32,18.6,95.6,0.0,2018-01-04 01:00:00
6.56,50.07,1.32,19.9,95.77,0.0,2018-01-04 02:00:00
6.97,48.19,1.27,17.9,95.16,0.0,2018-01-04 03:00:00
7.24,46.67,1.2,13.5,95.17,0.0,2018-01-04 04:00:00
7.49,45.27,1.1,8.9,94.57,0.0,2018-01-04 05:00:00
7.85,43.74,0.93,3.1,93.37,0.0,2018-01-04 06:00:00
8.53,43.35,0.62,344.2,94.86,0.0,2018-01-04 07:00:00
10.67,42.73,0.44,291.3,94.83,0.0,2018-01-04 08:00:00
12.91,33.8,1.07,270.5,93.98,0.0,2018-01-04 09:00:00
15.79,28.05,1.36,279.3,92.48,0.0,2018-01-04 10:00:00
19.48,19.36,1.89,288.8,91.64,0.0,2018-01-04 11:00:00
20.72,16.88,1.97,281.1,91.35,0.0,2018-01-04 12:00:00
20.98,16.28,1.87,275.2,37.51,0.0,2018-01-04 13:00:00
20.54,16.85,1.71,275.4,52.2,0.0,2018-01-04 14:00:00
18.52,31.28,0.83,280.4,65.23,0.0,2018-01-04 15:00:00
15.39,32.75,1.02,285.4,81.66,0.0,2018-01-04 16:00:00
13.87,30.58,1.12,296.6,99.67,0.0,2018-01-04 17:00:00
13.36,29.98,1.08,315.4,86.85,0.0,2018-01-04 18:00:00
12.89,30.72,1.05,342.8,58.84,0.0,2018-01-04 19:00:00
11.91,32.89,1.1,10.0,41.99,0.0,2018-01-04 20:00:00
11.01,36.48,1.19,28.1,38.12,0.0,2018-01-04 21:00:00
9.98,39.6,1.23,40.7,67.27,0.0,2018-01-04 22:00:00
9.23,41.91,1.24,50.5,88.88,0.0,2018-01-04 23:00:00
8.77,43.08,1.24,59.9,96.15,0.0,2018-01-05 00:00:00
8.53,43.64,1.21,70.2,96.9,0.0,2018-01-05 01:00:00
8.49,43.46,1.17,84.1,97.57,0.0,2018-01-05 02:00:00
8.28,43.34,1.15,105.1,96.36,0.0,2018-01-05 03:00:00
7.63,44.24,1.19,128.5,96.36,0.0,2018-01-05 04:00:00
6.51,46.8,1.25,149.1,95.76,0.0,2018-01-05 05:00:00
5.33,50.28,1.23,162.0,96.38,0.0,2018-01-05 06:00:00
5.9,51.41,1.07,168.2,97.92,0.0,2018-01-05 07:00:00
9.42,39.12,1.89,169.3,98.09,0.0,2018-01-05 08:00:00
11.77,33.92,1.35,169.4,97.92,0.0,2018-01-05 09:00:00
15.73,26.04,0.86,209.8,97.74,0.0,2018-01-05 10:00:00
19.39,19.39,1.25,263.6,91.38,0.0,2018-01-05 11:00:00
20.46,18.52,1.71,288.0,85.26,0.0,2018-01-05 12:00:00
20.78,18.53,2.14,299.1,91.12,0.0,2018-01-05 13:00:00
20.55,19.24,2.27,304.6,85.28,0.0,2018-01-05 14:00:00
18.86,30.47,1.22,308.0,79.12,0.0,2018-01-05 15:00:00
15.06,38.87,1.11,313.2,72.43,0.0,2018-01-05 16:00:00
12.99,38.17,1.32,318.1,65.44,0.0,2018-01-05 17:00:00
12.01,39.82,1.34,323.8,53.37,0.0,2018-01-05 18:00:00
11.01,41.6,1.36,329.5,9.69,0.0,2018-01-05 19:00:00
9.79,45.02,1.36,335.3,49.06,0.0,2018-01-05 20:00:00
8.7,48.31,1.37,341.3,72.69,0.0,2018-01-05 21:00:00
7.88,50.93,1.38,346.6,86.73,0.0,2018-01-05 22:00:00
7.24,53.35,1.37,349.9,86.63,0.0,2018-01-05 23:00:00
6.73,55.23,1.36,352.4,89.68,0.0,2018-01-06 00:00:00
6.3,56.87,1.35,353.6,89.7,0.0,2018-01-06 01:00:00
6.0,57.7,1.33,353.9,89.72,0.0,2018-01-06 02:00:00
5.76,58.64,1.31,354.7,88.49,0.0,2018-01-06 03:00:00
5.59,59.32,1.28,355.5,87.28,0.0,2018-01-06 04:00:00
5.53,59.59,1.27,354.6,85.47,0.0,2018-01-06 05:00:00
5.51,59.72,1.25,349.9,81.83,0.0,2018-01-06 06:00:00
6.77,57.17,1.06,344.1,83.56,0.0,2018-01-06 07:00:00
10.73,46.56,1.63,327.3,85.31,0.0,2018-01-06 08:00:00
13.44,38.35,1.93,310.8,87.3,0.0,2018-01-06 09:00:00
17.27,29.27,2.8,310.4,88.53,0.0,2018-01-06 10:00:00
19.58,24.89,3.45,307.2,59.55,0.0,2018-01-06 11:00:00
20.46,24.01,3.61,303.2,1.21,0.0,2018-01-06 12:00:00
20.71,23.82,3.56,301.3,0.05,0.0,2018-01-06 13:00:00
20.32,24.13,3.38,301.6,0.61,0.0,2018-01-06 14:00:00
18.95,28.42,2.37,301.2,1.17,0.0,2018-01-06 15:00:00
14.4,43.6,1.28,297.0,1.73,0.0,2018-01-06 16:00:00
11.56,47.45,1.42,295.8,2.29,0.0,2018-01-06 17:00:00
10.61,48.98,1.46,298.1,2.85,0.0,2018-01-06 18:00:00
9.76,50.57,1.48,302.3,3.41,0.0,2018-01-06 19:00:00
8.97,52.4,1.46,309.2,3.98,0.0,2018-01-06 20:00:00
8.23,54.39,1.45,317.0,4.54,0.0,2018-01-06 21:00:00
7.54,56.4,1.42,326.8,7.46,0.0,2018-01-06 22:00:00
6.87,58.89,1.37,336.8,3.64,0.0,2018-01-06 23:00:00
6.28,61.31,1.34,343.5,1.82,0.0,2018-01-07 00:00:00
5.79,63.41,1.32,346.4,5.36,0.0,2018-01-07 01:00:00
5.42,64.51,1.3,345.7,6.06,0.0,2018-01-07 02:00:00
5.12,65.13,1.28,341.8,6.65,0.0,2018-01-07 03:00:00
4.84,65.49,1.26,338.1,4.24,0.0,2018-01-07 04:00:00
4.56,66.06,1.24,334.7,1.82,0.0,2018-01-07 05:00:00
4.29,66.6,1.21,332.0,4.27,0.0,2018-01-07 06:00:00
5.91,60.2,1.2,329.0,3.35,0.0,2018-01-07 07:00:00
9.72,47.76,2.06,319.7,2.44,0.0,2018-01-07 08:00:00
12.82,39.11,2.12,307.9,1.52,0.0,2018-01-07 09:00:00
17.18,28.4,3.05,307.4,0.61,0.0,2018-01-07 10:00:00
19.73,22.95,3.61,305.2,0.01,0.0,2018-01-07 11:00:00
20.64,21.16,3.77,300.8,0.08,0.0,2018-01-07 12:00:00
20.96,20.35,3.82,298.6,0.14,0.0,2018-01-07 13:00:00
20.69,20.49,3.66,298.0,0.2,0.0,2018-01-07 14:00:00
19.44,24.09,2.65,297.0,0.25,0.0,2018-01-07 15:00:00
14.64,39.28,1.38,293.4,0.31,0.0,2018-01-07 16:00:00
11.61,43.65,1.47,292.7,0.37,0.0,2018-01-07 17:00:00
10.69,45.21,1.48,294.0,0.43,0.0,2018-01-07 18:00:00
9.89,46.69,1.45,297.1,0.49,0.0,2018-01-07 19:00:00
9.1,48.3,1.42,302.9,0.55,0.0,2018-01-07 20:00:00
8.3,50.28,1.35,312.9,0.61,0.0,2018-01-07 21:00:00
7.55,52.29,1.25,326.4,0.0,0.0,2018-01-07 22:00:00
6.94,54.17,1.2,336.4,0.61,0.0,2018-01-07 23:00:00
6.56,55.25,1.18,339.1,0.61,0.0,2018-01-08 00:00:00
6.26,56.22,1.16,335.6,1.21,0.0,2018-01-08 01:00:00
5.84,57.86,1.17,329.7,0.0,0.0,2018-01-08 02:00:00
5.33,59.58,1.19,324.6,0.3,0.0,2018-01-08 03:00:00
4.79,61.51,1.21,323.4,0.61,0.0,2018-01-08 04:00:00
4.32,63.24,1.2,327.6,1.82,0.0,2018-01-08 05:00:00
3.98,64.43,1.15,334.3,1.46,0.0,2018-01-08 06:00:00
5.52,59.12,0.99,339.4,1.11,0.0,2018-01-08 07:00:00
9.53,46.04,1.61,333.0,0.76,0.0,2018-01-08 08:00:00
12.59,37.49,1.6,319.3,0.41,0.0,2018-01-08 09:00:00
16.91,27.14,2.56,312.0,0.05,0.0,2018-01-08 10:00:00
19.48,22.24,2.9,309.1,0.03,0.0,2018-01-08 11:00:00
20.49,20.55,2.84,304.5,0.02,0.0,2018-01-08 12:00:00
20.88,19.74,2.71,301.1,0.0,0.0,2018-01-08 13:00:00
20.64,19.83,2.55,298.9,0.12,0.0,2018-01-08 14:00:00
19.2,27.5,1.53,296.4,0.24,0.0,2018-01-08 15:00:00
14.87,40.1,1.15,291.4,0.36,0.0,2018-01-08 16:00:00
12.47,39.81,1.36,292.0,0.48,0.0,2018-01-08 17:00:00
11.74,40.2,1.37,297.3,0.61,0.0,2018-01-08 18:00:00
11.35,40.1,1.35,304.7,0.61,0.0,2018-01-08 19:00:00
10.85,40.62,1.29,315.0,1.21,0.0,2018-01-08 20:00:00
10.19,41.95,1.23,325.3,0.61,0.0,2018-01-08 21:00:00
9.45,43.82,1.18,333.9,0.0,0.0,2018-01-08 22:00:00
8.79,45.53,1.16,339.8,0.61,0.0,2018-01-08 23:00:00
8.27,46.72,1.16,341.9,0.3,0.0,2018-01-09 00:00:00
7.74,47.99,1.17,340.5,0.0,0.0,2018-01-09 01:00:00
7.14,49.52,1.19,338.8,0.61,0.0,2018-01-09 02:00:00
6.56,51.19,1.22,339.3,1.21,0.0,2018-01-09 03:00:00
6.03,52.76,1.23,337.6,9.65,0.0,2018-01-09 04:00:00
5.58,54.1,1.24,334.3,12.68,0.0,2018-01-09 05:00:00
5.14,55.46,1.25,331.8,8.42,0.0,2018-01-09 06:00:00
6.34,53.55,1.13,332.1,6.66,0.0,2018-01-09 07:00:00
10.61,41.72,2.03,327.2,6.66,0.0,2018-01-09 08:00:00
13.79,33.26,2.28,320.2,6.47,0.0,2018-01-09 09:00:00
18.06,24.77,3.07,319.9,4.06,0.0,2018-01-09 10:00:00
20.69,20.37,3.41,316.4,3.84,0.0,2018-01-09 11:00:00
21.95,18.59,3.47,308.5,3.62,0.0,2018-01-09 12:00:00
22.51,17.55,3.54,302.8,1.81,0.0,2018-01-09 13:00:00
22.22,17.55,3.45,299.9,1.01,0.0,2018-01-09 14:00:00
20.41,23.16,2.21,299.0,0.2,0.0,2018-01-09 15:00:00
15.24,37.0,1.39,297.9,0.4,0.0,2018-01-09 16:00:00
12.08,40.2,1.51,300.1,0.61,0.0,2018-01-09 17:00:00
11.02,41.35,1.52,304.0,2.42,0.0,2018-01-09 18:00:00
10.05,42.86,1.49,309.0,1.82,0.0,2018-01-09 19:00:00
9.15,44.61,1.46,313.6,2.42,0.0,2018-01-09 20:00:00
8.35,46.53,1.44,317.5,0.17,0.0,2018-01-09 21:00:00
7.62,48.6,1.4,322.0,1.21,0.0,2018-01-09 22:00:00
6.97,50.48,1.36,326.7,2.42,0.0,2018-01-09 23:00:00
6.44,52.01,1.36,330.0,4.85,0.0,2018-01-10 00:00:00
6.03,52.98,1.37,331.2,8.49,0.0,2018-01-10 01:00:00
5.7,53.32,1.38,330.1,11.07,0.0,2018-01-10 02:00:00
5.37,53.46,1.41,327.8,12.73,0.0,2018-01-10 03:00:00
4.98,53.84,1.44,325.2,16.98,0.0,2018-01-10 04:00:00
4.58,54.26,1.45,323.7,14.55,0.0,2018-01-10 05:00:00
4.18,54.87,1.45,323.7,18.79,0.0,2018-01-10 06:00:00
6.01,50.52,1.61,322.8,38.16,0.0,2018-01-10 07:00:00
10.01,38.5,2.65,319.6,52.64,0.0,2018-01-10 08:00:00
12.97,32.09,2.36,309.5,65.62,0.0,2018-01-10 09:00:00
16.76,25.88,2.67,301.8,17.55,0.0,2018-01-10 10:00:00
20.69,18.66,3.92,305.2,54.51,0.0,2018-01-10 11:00:00
22.8,15.59,4.21,303.8,38.93,0.0,2018-01-10 12:00:00
23.42,14.73,4.14,301.8,37.24,0.0,2018-01-10 13:00:00
23.13,14.99,3.94,302.4,27.2,0.0,2018-01-10 14:00:00
21.15,20.49,2.49,302.9,17.77,0.0,2018-01-10 15:00:00
15.76,33.57,1.57,301.0,9.23,0.0,2018-01-10 16:00:00
12.53,37.06,1.69,301.7,0.61,0.0,2018-01-10 17:00:00
11.51,38.25,1.72,305.1,1.82,0.0,2018-01-10 18:00:00
10.88,39.29,1.7,309.0,8.56,0.0,2018-01-10 19:00:00
10.46,40.55,1.64,312.5,28.16,0.0,2018-01-10 20:00:00
9.48,43.04,1.56,316.0,37.71,0.0,2018-01-10 21:00:00
8.53,45.31,1.49,320.4,27.47,0.0,2018-01-10 22:00:00
7.86,47.11,1.45,324.2,34.48,0.0,2018-01-10 23:00:00
7.23,48.7,1.45,328.0,19.87,0.0,2018-01-11 00:00:00
7.0,49.45,1.45,330.3,2.74,0.0,2018-01-11 01:00:00
7.34,48.6,1.41,331.3,20.37,0.0,2018-01-11 02:00:00
7.27,48.66,1.33,330.1,17.04,0.0,2018-01-11 03:00:00
7.09,48.64,1.28,327.8,4.24,0.0,2018-01-11 04:00:00
6.23,49.8,1.26,324.0,19.85,0.0,2018-01-11 05:00:00
5.72,50.24,1.31,321.2,14.68,0.0,2018-01-11 06:00:00
7.05,46.97,1.54,316.6,30.32,0.0,2018-01-11 07:00:00
10.66,36.2,2.4,311.5,42.99,0.0,2018-01-11 08:00:00
13.81,29.94,2.23,305.0,54.81,0.0,2018-01-11 09:00:00
17.25,24.57,2.7,308.5,68.23,0.0,2018-01-11 10:00:00
20.16,19.79,3.37,308.1,91.41,0.0,2018-01-11 11:00:00
21.78,17.24,3.56,306.1,77.9,0.0,2018-01-11 12:00:00
22.07,16.92,3.38,306.2,65.84,0.0,2018-01-11 13:00:00
21.66,17.71,3.13,309.2,71.09,0.0,2018-01-11 14:00:00
20.2,24.09,2.03,310.6,75.49,0.0,2018-01-11 15:00:00
16.35,37.29,1.21,312.0,82.37,0.0,2018-01-11 16:00:00
14.12,39.72,1.27,313.7,99.79,0.0,2018-01-11 17:00:00
13.58,40.65,1.23,317.0,99.39,0.0,2018-01-11 18:00:00
13.06,41.65,1.18,319.8,99.64,0.0,2018-01-11 19:00:00
12.49,42.8,1.14,320.7,99.53,0.0,2018-01-11 20:00:00
11.86,43.94,1.13,321.1,99.78,0.0,2018-01-11 21:00:00
11.29,45.02,1.14,319.6,99.85,0.0,2018-01-11 22:00:00
10.8,45.76,1.16,317.1,99.81,0.0,2018-01-11 23:00:00
10.4,46.36,1.22,314.0,99.82,0.0,2018-01-12 00:00:00
10.04,46.71,1.3,313.1,99.51,0.0,2018-01-12 01:00:00
9.55,47.47,1.33,316.2,99.83,0.0,2018-01-12 02:00:00
8.9,48.89,1.26,321.8,99.38,0.0,2018-01-12 03:00:00
8.43,50.04,1.17,327.5,95.89,0.0,2018-01-12 04:00:00
8.08,50.97,1.06,331.7,83.24,0.0,2018-01-12 05:00:00
8.08,51.0,0.95,332.4,86.92,0.0,2018-01-12 06:00:00
9.44,48.14,0.95,324.0,76.78,0.0,2018-01-12 07:00:00
11.96,39.82,1.66,305.7,70.58,0.0,2018-01-12 08:00:00
14.16,32.94,1.61,295.8,64.15,0.0,2018-01-12 09:00:00
17.0,27.7,2.16,293.1,58.61,0.0,2018-01-12 10:00:00
19.66,22.53,2.95,299.0,67.44,0.0,2018-01-12 11:00:00
21.15,19.97,3.27,300.1,36.5,0.0,2018-01-12 12:00:00
21.56,19.65,3.09,301.9,53.91,0.0,2018-01-12 13:00:00
21.36,20.57,2.62,303.9,45.86,0.0,2018-01-12 14:00:00
19.7,32.95,1.12,308.5,37.12,0.0,2018-01-12 15:00:00
17.06,38.8,1.0,317.0,27.32,0.0,2018-01-12 16:00:00
15.86,35.51,1.06,327.4,20.52,0.0,2018-01-12 17:00:00
15.88,33.47,0.93,344.5,48.54,0.0,2018-01-12 18:00:00
15.28,32.98,0.81,8.5,43.32,0.0,2018-01-12 19:00:00
14.53,34.43,0.69,32.5,5.39,0.0,2018-01-12 20:00:00
14.3,34.56,0.67,44.4,3.64,0.0,2018-01-12 21:00:00
13.61,36.04,0.61,46.3,0.0,0.0,2018-01-12 22:00:00
12.91,37.51,0.57,39.3,5.43,0.0,2018-01-12 23:00:00
12.19,38.98,0.55,30.8,25.2,0.0,2018-01-13 00:00:00
11.47,40.3,0.52,21.6,7.77,0.0,2018-01-13 01:00:00
10.31,43.26,0.52,6.6,21.82,0.0,2018-01-13 02:00:00
9.64,44.84,0.72,358.4,23.57,0.0,2018-01-13 03:00:00
8.86,46.7,0.9,1.9,32.65,0.0,2018-01-13 04:00:00
8.29,48.12,1.0,6.9,36.31,0.0,2018-01-13 05:00:00
8.03,48.42,1.02,6.2,26.61,0.0,2018-01-13 06:00:00
8.83,48.26,0.88,359.3,27.28,0.0,2018-01-13 07:00:00
12.2,41.23,1.1,339.7,27.64,0.0,2018-01-13 08:00:00
14.98,33.12,1.59,322.4,27.99,0.0,2018-01-13 09:00:00
18.84,24.84,2.57,310.7,29.97,0.0,2018-01-13 10:00:00
21.14,20.32,3.27,310.4,0.61,0.0,2018-01-13 11:00:00
22.03,18.81,3.49,310.8,0.61,0.0,2018-01-13 12:00:00
22.26,18.41,3.48,311.9,0.0,0.0,2018-01-13 13:00:00
21.9,18.87,3.2,313.7,0.0,0.0,2018-01-13 14:00:00
20.25,26.19,1.79,313.4,0.0,0.0,2018-01-13 15:00:00
15.82,38.28,1.23,311.4,0.0,0.0,2018-01-13 16:00:00
13.49,38.7,1.37,310.6,0.0,0.0,2018-01-13 17:00:00
12.91,38.41,1.36,310.8,0.0,0.0,2018-01-13 18:00:00
12.54,38.07,1.34,311.7,0.0,0.0,2018-01-13 19:00:00
12.02,38.5,1.29,314.4,0.0,0.0,2018-01-13 20:00:00
11.44,39.31,1.25,317.9,0.0,0.0,2018-01-13 21:00:00
10.71,40.65,1.18,321.9,0.3,0.0,2018-01-13 22:00:00
9.97,42.45,1.12,325.2,0.61,0.0,2018-01-13 23:00:00
9.46,43.52,1.06,326.9,0.61,0.0,2018-01-14 00:00:00
9.02,44.28,1.0,326.5,3.47,0.0,2018-01-14 01:00:00
8.64,44.71,0.92,328.7,14.54,0.0,2018-01-14 02:00:00
8.28,44.94,0.88,334.3,34.53,0.0,2018-01-14 03:00:00
7.82,45.77,0.89,345.7,39.37,0.0,2018-01-14 04:00:00
7.62,46.11,0.92,358.1,39.38,0.0,2018-01-14 05:00:00
7.73,45.34,0.92,6.3,27.86,0.0,2018-01-14 06:00:00
9.02,43.75,0.73,7.9,19.98,0.0,2018-01-14 07:00:00
12.26,38.81,0.58,326.3,16.69,0.0,2018-01-14 08:00:00
15.13,29.83,1.3,290.2,10.9,0.0,2018-01-14 09:00:00
19.27,21.9,2.47,295.1,6.26,0.0,2018-01-14 10:00:00
21.86,17.93,3.07,298.4,0.65,0.0,2018-01-14 11:00:00
22.87,16.85,3.1,299.5,0.0,0.0,2018-01-14 12:00:00
23.22,16.43,3.04,299.8,0.01,0.0,2018-01-14 13:00:00
23.06,16.64,3.02,300.2,0.02,0.0,2018-01-14 14:00:00
21.59,22.48,2.02,300.6,0.02,0.0,2018-01-14 15:00:00
16.69,35.41,1.37,301.8,0.03,0.0,2018-01-14 16:00:00
13.68,37.95,1.51,306.9,0.04,0.0,2018-01-14 17:00:00
12.69,39.21,1.54,315.5,0.05,0.0,2018-01-14 18:00:00
11.82,40.74,1.55,325.0,0.06,0.0,2018-01-14 19:00:00
10.92,42.78,1.54,333.4,0.06,0.0,2018-01-14 20:00:00
10.01,45.35,1.53,342.2,0.07,0.0,2018-01-14 21:00:00
9.19,47.93,1.47,349.8,0.08,0.0,2018-01-14 22:00:00
8.55,49.62,1.39,353.8,0.4,0.0,2018-01-14 23:00:00
8.31,49.42,1.33,353.1,0.73,0.0,2018-01-15 00:00:00
8.38,48.02,1.28,346.4,1.05,0.0,2018-01-15 01:00:00
8.13,47.95,1.24,338.2,1.37,0.0,2018-01-15 02:00:00
7.48,49.34,1.22,333.2,0.61,0.0,2018-01-15 03:00:00
6.66,51.54,1.23,331.8,0.61,0.0,2018-01-15 04:00:00
5.91,53.79,1.27,333.2,3.64,0.0,2018-01-15 05:00:00
5.33,55.68,1.28,336.0,23.76,0.0,2018-01-15 06:00:00
7.03,51.91,1.25,335.9,17.4,0.0,2018-01-15 07:00:00
11.13,41.05,2.14,324.3,13.96,0.0,2018-01-15 08:00:00
14.2,32.41,2.19,310.7,7.26,0.0,2018-01-15 09:00:00
18.46,23.06,3.14,307.6,1.69,0.0,2018-01-15 10:00:00
20.99,18.55,3.68,306.7,1.21,0.0,2018-01-15 11:00:00
22.28,16.65,3.82,305.5,1.21,0.0,2018-01-15 12:00:00
22.88,15.7,3.87,306.1,0.0,0.0,2018-01-15 13:00:00
22.57,15.87,3.71,306.9,0.61,0.0,2018-01-15 14:00:00
20.75,21.53,2.3,305.6,1.21,0.0,2018-01-15 15:00:00
15.75,33.78,1.5,303.1,1.82,0.0,2018-01-15 16:00:00
12.62,37.17,1.59,305.0,2.42,0.0,2018-01-15 17:00:00
11.57,38.46,1.56,309.8,9.09,0.0,2018-01-15 18:00:00
10.61,39.9,1.51,315.3,9.69,0.0,2018-01-15 19:00:00
9.66,41.74,1.46,320.8,6.05,0.0,2018-01-15 20:00:00
8.71,43.94,1.43,327.3,4.24,0.0,2018-01-15 21:00:00
7.89,46.0,1.45,332.6,1.17,0.0,2018-01-15 22:00:00
7.2,47.58,1.51,335.8,3.03,0.0,2018-01-15 23:00:00
6.62,48.69,1.59,337.0,3.64,0.0,2018-01-16 00:00:00
6.11,49.58,1.65,336.1,0.21,0.0,2018-01-16 01:00:00
5.67,50.06,1.7,334.5,1.82,0.0,2018-01-16 02:00:00
5.25,50.11,1.73,333.9,1.82,0.0,2018-01-16 03:00:00
4.84,50.28,1.76,334.7,1.82,0.0,2018-01-16 04:00:00
4.46,50.53,1.75,336.8,5.58,0.0,2018-01-16 05:00:00
4.12,50.63,1.68,339.1,73.44,0.0,2018-01-16 06:00:00
6.49,44.75,1.78,338.6,52.91,0.0,2018-01-16 07:00:00
11.18,32.36,2.57,333.9,34.54,0.0,2018-01-16 08:00:00
14.74,25.17,2.37,318.2,17.26,0.0,2018-01-16 09:00:00
18.85,19.16,2.86,305.9,0.32,0.0,2018-01-16 10:00:00
22.95,12.29,3.84,306.6,0.74,0.0,2018-01-16 11:00:00
24.57,10.53,3.85,301.0,1.15,0.0,2018-01-16 12:00:00
25.19,9.99,3.62,296.9,0.61,0.0,2018-01-16 13:00:00
24.91,10.3,3.21,295.8,1.06,0.0,2018-01-16 14:00:00
22.75,18.66,1.67,296.3,1.52,0.0,2018-01-16 15:00:00
17.62,29.83,1.25,293.1,1.97,0.0,2018-01-16 16:00:00
